pub_date	title	venue	excerpt	citation	url_slug	paper_url
2022-07-25	CSSI Frameworks: Future Proofing the Finite Element Library deal.II - Development and Community Building	Poster, NSF Cyberinfrastructure for Sustained Scientific Innovation (CSSI) Principal Investigator Meeting			dealii-cssi	https://zenodo.org/record/6626469
2022-07-17	The deal.II library, Version 9.4	Journal of Numerical Mathematics			dealii-9.4	https://www.degruyter.com/document/doi/10.1515/jnma-2022-0054/html
2022-06-13	Algorithms for Parallel Generic hp-adaptive Finite Element Software	Submitted to ACM Transactions on Mathematical Software			parallel-hp	https://arxiv.org/abs/2206.06512
2021-09-25	The deal.II library, Version 9.3	Journal of Numerical Mathematics			dealii-9.3	https://www.degruyter.com/document/doi/10.1515/jnma-2021-0081/html
2020-07-25	The deal.II library, Version 9.2	Journal of Numerical Mathematics			dealii-9.2	https://www.degruyter.com/document/doi/10.1515/jnma-2020-0043/html
2022-06-05	Algorithms for massively parallel generic hp-adaptive finite element methods	PhD thesis, University of Wuppertal, Germany			phd	http://hdl.handle.net/2128/25427
2019-06-30	The deal.II library, Version 9.1	Journal of Numerical Mathematics			dealii-9.1	https://www.degruyter.com/document/doi/10.1515/jnma-2019-0064/html
2018-10-30	Verbundprojekt ORPHEUS: Optimierung der Rauchableitung und Personenführung in U-Bahnhöfen: Experimente und Simulationen: Abschlussbericht des Teilvorhabens: Brand- und Personenstromsimulationen in unterirdischen Verkehrsstationen	Final report, Jülich Research Centre			orpheus-report	https://www.tib.eu/en/suchen/id/TIBKAT:1667013130/
2017-06-12	Towards smoke and fire simulation with grid adaptive FEM: Verification of the flow solver	Poster, 12th International Symposium on Fire Safety Science			fire-poster	https://iafss2017.files.wordpress.com/2017/06/book-of-abstract-posters-klar.pdf
2017-04-06	Plasma-wall transition in the quasi-neutral region of collisional and stationary plasmas in a magnetic field enclosed by totally absorbing walls	Contributions to Plasma Physics			plasma-wall	https://onlinelibrary.wiley.com/doi/epdf/10.1002/ctpp.201700002
2015-07-31	Modeling of plasma-wall interactions in a quasi-neutral hybrid model for the simulation of magnetized plasma discharges	Master’s thesis, Ruhr-University Bochum, Germany			master	http://marcfehling.github.io/files/master.pdf
2015-07-31	Comparison of several techniques for obtaining the spatially resolved emissivity in low-temperature inductively coupled plasmas	SOWAS lab report, Ruhr-University Bochum, Germany			sowas	http://marcfehling.github.io/files/sowas.pdf
2013-07-31	Entwicklung und Validierung eines dreidimensionalen, parallelen Hybrid Codes zur Simulation von Plasmen	Bachelor’s thesis, Ruhr-University Bochum, Germany			bachelor	http://marcfehling.github.io/files/bachelor.pdf
